,question,phrase_1,phrase_2,response_1,response_2,response_3,response_4,response_5,response_6
0,Which term expresses a higher degree of certainty that the <finding> is present?,could be due to,probable,probable,probable,probable,probable,probable,probable
1,Which term expresses a higher degree of certainty that the <finding> is present?.1,appear,difficult to exclude,appear,appear,appear,appear,appear,appear
2,Which term expresses a higher degree of certainty that the <finding> is present?.2,could reflect,differential,could reflect,could reflect,could reflect,could reflect,could reflect,could reflect
3,Which term expresses a higher degree of certainty that the <finding> is present?.3,could be,likely,likely,likely,likely,likely,likely,likely
4,Which term expresses a higher degree of certainty that the <finding> is present?.4,could,versus,could,could,versus,versus,could,could
5,Which term expresses a higher degree of certainty that the <finding> is present?.5,difficult to exclude,may reflect,may reflect,may reflect,difficult to exclude,may reflect,difficult to exclude,may reflect
6,Which term expresses a higher degree of certainty that the <finding> is present?.6,could represent,difficult to exclude,could represent,could represent,difficult to exclude,could represent,difficult to exclude,could represent
7,Which term expresses a higher degree of certainty that the <finding> is present?.7,and/or,could be due to,could be due to,could be due to,and/or,and/or,and/or,and/or
8,Which term expresses a higher degree of certainty that the <finding> is present?.8,appears,difficult to exclude,appears,appears,difficult to exclude,appears,appears,appears
9,Which term expresses a higher degree of certainty that the <finding> is present?.9,differential,more likely,more likely,more likely,differential,more likely,more likely,more likely
10,Which term expresses a higher degree of certainty that the <finding> is present?.10,may be due to,suggesting,suggesting,suggesting,suggesting,suggesting,suggesting,suggesting
11,Which term expresses a higher degree of certainty that the <finding> is present?.11,likely,might,likely,likely,likely,likely,likely,likely
12,Which term expresses a higher degree of certainty that the <finding> is present?.12,differential,may be,may be,may be,differential,differential,may be,may be
13,Which term expresses a higher degree of certainty that the <finding> is present?.13,could be due to,suspected,suspected,could be due to,suspected,suspected,suspected,suspected
14,Which term expresses a higher degree of certainty that the <finding> is present?.14,cannot be excluded,difficult to exclude,cannot be excluded,cannot be excluded,cannot be excluded,difficult to exclude,difficult to exclude,difficult to exclude
15,Which term expresses a higher degree of certainty that the <finding> is present?.15,appears,could be,appears,appears,appears,appears,appears,appears
16,Which term expresses a higher degree of certainty that the <finding> is present?.16,difficult to exclude,possible,possible,possible,difficult to exclude,possible,difficult to exclude,possible
17,Which term expresses a higher degree of certainty that the <finding> is present?.17,consistent with,suggestive of,consistent with,consistent with,consistent with,consistent with,consistent with,consistent with
18,Which term expresses a higher degree of certainty that the <finding> is present?.18,possibility,possibly,possibly,possibly,possibly,possibly,possibly,possibly
19,Which term expresses a higher degree of certainty that the <finding> is present?.19,may reflect,possibility,may reflect,may reflect,may reflect,may reflect,may reflect,may reflect
